Gene	Length	Counts	TotalReads	RPKM(34736836 pairs)	TPM(11.14 norm. reads)
AC006483.1	85	6939	34736836	2350.10736492	7329.34320292
RPS2	1169	82518	34736836	2032.09461021	6337.54825049
RP5-940J5.9	424	19750	34736836	1340.9450613	4182.04151742
RPL7A	899	40021	34736836	1281.55717404	3996.82691222
AC139149.1	85	3779	34736836	1279.87544776	3991.58206713
RPS4X	1533	62319	34736836	1170.27536432	3649.76933183
RPS18	660	26513	34736836	1156.44418856	3606.63367108
EEF2	3179	124516	34736836	1127.57223818	3516.58994097
RPSA	1193	46003	34736836	1110.08300137	3462.04578661
RPL8	1272	45613	34736836	1032.31269335	3219.50143011
ACTB	1923	68547	34736836	1026.16904529	3200.34106928
RPL39	404	14380	34736836	1024.67764784	3195.68980783
RPS8	887	30588	34736836	992.743845693	3096.09699807
ENO1	1795	58638	34736836	940.425589445	2932.93064169
EEF1G	1533	50034	34736836	939.577938962	2930.28705128
RPL12	640	20641	34736836	928.454235153	2895.59525629
RPL6	1130	36127	34736836	920.37157501	2870.38764618
HSP90AA1	4040	126573	34736836	901.922975802	2812.85150241
EEF1A1	5155	157494	34736836	879.518715556	2742.97873192
GNB2L1	1882	57429	34736836	878.458757429	2739.67301193
RPL11	640	19420	34736836	873.5323505	2724.30889381
GAPDH	2235	66973	34736836	862.644718086	2690.35334105
RPS3A	1120	33438	34736836	859.472553656	2680.46022631
YBX1	1522	45341	34736836	857.602786815	2674.62893405
RPL3	1476	42344	34736836	825.87679786	2575.6842369
RP11-138I1.4	463	13241	34736836	823.283736556	2567.59718669
RPL5	1051	29998	34736836	821.673586736	2562.57556904
TUBA1B	1631	46486	34736836	820.498815781	2558.91177918
PTMA	1904	52111	34736836	787.902003771	2457.25122269
NPM1	2619	69901	34736836	768.347410778	2396.26578629
ACTG1	2372	63170	34736836	766.665523883	2391.02044028
HSPA8	2709	71258	34736836	757.241427542	2361.62925693
HSP90AB1	2994	76767	34736836	738.129418613	2302.02411938
RPL41	702	17934	34736836	735.444314704	2293.65001342
LDHB	1594	39008	34736836	704.490447381	2197.11335282
XXbac-BPG252P9.9	774	18820	34736836	699.984462547	2183.06041643
HMGN2	1201	28788	34736836	690.046294924	2152.06598511
RP11-386G11.10	1519	36061	34736836	683.423225429	2131.4104397
RPS11	845	19992	34736836	681.097483882	2124.15708683
EIF4A1	1767	41539	34736836	676.75150376	2110.60316145
RPL13A	1189	27671	34736836	669.965966313	2089.44092286
RPL24	1016	23189	34736836	657.049447383	2049.15782702
HNRNPA2B1	3723	83275	34736836	643.919158583	2008.20804132
RPL36A-HNRNPH2	700	15176	34736836	624.121321815	1946.463994
RPLP0	1822	38092	34736836	601.859534315	1877.03555709
H2AFZ	984	20542	34736836	600.976331297	1874.28108803
RPL19	1132	23152	34736836	588.778345264	1836.2389001
RPL10A	722	14645	34736836	583.931522088	1821.12298198
MIR3064	68	1355	34736836	573.640920786	1789.02940625
HSPD1	2583	49913	34736836	556.28712601	1734.90765858
RPS6	2530	48573	34736836	552.693234043	1723.6992908
RPS10-NUDT3	885	16675	34736836	542.41577758	1691.64671023
RP11-290D2.6	590	10551	34736836	514.815190637	1605.56801556
RPS12	637	11254	34736836	508.601012277	1586.18768996
TUBB	3364	59347	34736836	507.869959186	1583.90773498
NCL	4048	71357	34736836	507.464680759	1582.64378222
YWHAE	2251	39126	34736836	500.379717201	1560.54771535
UBB	1620	27881	34736836	495.453697256	1545.18480413
RPS27	717	12208	34736836	490.156884255	1528.66549061
RPL35	544	9067	34736836	479.815703761	1496.41417218
RPS13	652	10780	34736836	475.971453799	1484.42500617
RPS10	987	16210	34736836	472.797970789	1474.52777915
RPL4	3280	52989	34736836	465.073529634	1450.43735625
RP11-1035H13.3	771	12316	34736836	459.859374146	1434.17582895
PRDX1	1258	19574	34736836	447.92848842	1396.96665395
RP11-11N7.5	501	7683	34736836	441.471679842	1376.82963095
ATP5B	1849	28132	34736836	437.999323093	1366.00029833
RPS25	840	12746	34736836	436.821866097	1362.32813145
RPL30	655	9803	34736836	430.851336424	1343.70767958
RPS16	687	10219	34736836	428.214534262	1335.48421359
RP11-124N14.3	708	10416	34736836	423.523443724	1320.85398304
RPL23A	2029	29810	34736836	422.95062469	1319.06751688
RPLP1	1201	17370	34736836	416.357653982	1298.50584137
RPL9	1206	16822	34736836	401.550399738	1252.32605832
RPS7	1170	16295	34736836	400.938946407	1250.41910233
CKB	1717	23620	34736836	396.022024741	1235.08456616
HNRNPA1	4292	59000	34736836	395.732792872	1234.18253094
HNRNPAB	1894	25354	34736836	385.36853594	1201.8592434
OAZ1	1154	15403	34736836	384.245905463	1198.35806546
RPL17	1151	15342	34736836	383.721732397	1196.72331279
RPL29	1598	21257	34736836	382.943708979	1194.29687018
AC010761.8	901	11885	34736836	379.738068289	1184.29935213
RPL7	2365	31018	34736836	377.565573439	1177.52393386
RPL27	1122	14683	34736836	376.731282116	1174.92200702
RP11-603J24.9	495	6413	34736836	372.963028514	1163.16985291
CALR	1912	24765	34736836	372.872355379	1162.88706816
VIM	2146	27724	34736836	371.908337274	1159.8805589
PPIA	2541	32410	34736836	367.18430362	1145.14758778
EIF5A	2103	26124	34736836	357.610403059	1115.28920597
RPL21	1086	13237	34736836	350.88878314	1094.32630869
C1QBP	1246	15101	34736836	348.897138027	1088.11491138
RPL26	1598	19308	34736836	347.832579054	1084.79484261
PARP1	4283	51287	34736836	344.721970322	1075.09370329
PTGES3	2086	24950	34736836	344.322963565	1073.84931016
SENP3-EIF4A1	3541	42346	34736836	344.267644566	1073.6767853
PKM	3327	39677	34736836	343.317363216	1070.71311723
XIST	19281	228432	34736836	341.064980191	1063.68854957
NME1-NME2	1250	14754	34736836	339.78915063	1059.70958551
RPS15	1293	15242	34736836	339.354157467	1058.35296061
RPL18	1439	16905	34736836	338.192617403	1054.73043429
AC119673.1	1658	19389	34736836	336.651556044	1049.92428468
CCT3	2278	26240	34736836	331.604070307	1034.18255482
CCT7	2056	23671	34736836	331.438715251	1033.66685755
RPS14	1830	21052	34736836	331.170781836	1032.83124639
HNRNPK	3063	34998	34736836	328.931883414	1025.84873351
PABPC1	3500	39709	34736836	326.610879915	1018.61015732
RPL36A	1256	14229	34736836	326.132801964	1017.11916273
LDHA	2977	33654	34736836	325.43750185	1014.95071151
CSDE1	4334	48835	34736836	324.378474318	1011.6478938
RP11-229E13.4	157	1734	34736836	317.950258546	991.600043948
EIF4G2	4511	49643	34736836	316.807119895	988.034906615
MIR3620	80	875	34736836	314.867479583	981.985698078
FTL	882	9582	34736836	312.750003432	975.381868116
TPI1	2181	23550	34736836	310.84578845	969.44314151
XRCC6	2958	31852	34736836	309.990424717	966.775495572
HNRNPU	6011	63164	34736836	302.505056621	943.430676269
RP11-161H23.5	682	7155	34736836	302.019514559	941.91640315
RPL17-C18orf32	1470	15191	34736836	297.494383353	927.803754449
SET	3462	35632	34736836	296.294014228	924.060130895
ANP32B	1470	15066	34736836	295.046434046	920.169268944
UQCRH	608	6157	34736836	291.52467245	909.1858561
TMSB10	499	5045	34736836	291.051851725	907.711257359
RP11-864I4.1	5081	50878	34736836	288.264112261	899.017059126
RP11-138C9.1	268	2652	34736836	284.871149118	888.435333493
BTF3	1284	12507	34736836	280.41282187	874.531028099
NUCKS1	6503	63188	34736836	279.724558598	872.384522873
EEF1B2	1124	10855	34736836	278.018219898	867.062918364
RHOA	2176	20720	34736836	274.119923401	854.905195974
SRP9	1733	16362	34736836	271.798820262	847.66630903
CANX	4463	42088	34736836	271.482064839	846.678435352
RPS27A	1382	12929	34736836	269.318777326	839.93173226
SLC25A5	1278	11849	34736836	266.907383185	832.411252333
RANBP1	1637	15092	34736836	265.404241312	827.723363247
RP11-186B7.4	4566	41754	34736836	263.252146774	821.011567988
GPX4	1240	11238	34736836	260.901805386	813.681494931
RPS24	2952	26711	34736836	260.485489652	812.383119825
FBL	1179	10619	34736836	259.286292262	808.643150593
GLO1	2018	18155	34736836	258.991095764	807.722513316
PSMB4	971	8591	34736836	254.703100035	794.349425423
MIR4444-1	75	658	34736836	252.565700956	787.683461285
AC009133.15	549	4788	34736836	251.068101753	783.012858271
HDGF	2798	24023	34736836	247.166309389	770.844233225
NONO	3231	27733	34736836	247.0982305	770.631913758
RP11-872D17.4	313	2679	34736836	246.398532996	768.449748287
HNRNPD	3072	26227	34736836	245.774684137	766.504134032
HSP90B1	2876	24541	34736836	245.647933763	766.108834223
RP11-269F19.2	583	4973	34736836	245.561143008	765.838157556
CNBP	1675	14261	34736836	245.100902418	764.402792817
NDUFB10	868	7390	34736836	245.095001882	764.384390656
ARF1	2204	18746	34736836	244.853752544	763.631999841
EIF3E	1556	13200	34736836	244.215981226	761.642965237
RP11-159D12.5	714	6024	34736836	242.882650277	757.484670056
FTH1	1623	13648	34736836	242.080738602	754.983726495
SRSF1	3205	26720	34736836	240.003824152	748.506397401
IMPDH2	1657	13802	34736836	239.788999918	747.83641927
SOD1	971	8017	34736836	237.685339656	741.275677292
EIF3I	1469	12101	34736836	237.142397848	739.582390038
RPLP2	979	8032	34736836	236.184150218	736.593877317
MIR3940	103	842	34736836	235.333963103	733.942375839
MIR1282	102	831	34736836	234.536583111	731.455565358
DDX5	2779	22471	34736836	232.778890946	725.973803411
TUBB4B	1641	13254	34736836	232.513475025	725.146043622
RPL10	2786	22496	34736836	232.452345669	724.955397853
MORF4L2	2162	17345	34736836	230.955525132	720.287223287
HNRNPM	2709	21460	34736836	228.050198364	711.226302361
SSRP1	2836	22292	34736836	226.283323953	705.715903495
CTC-425F1.4	272	2125	34736836	224.905342559	701.41835577
AC004824.1	65	507	34736836	224.545494011	700.296086401
RPL36	1404	10912	34736836	223.741729733	697.789365074
PPA1	1340	10337	34736836	222.074892039	692.590953418
RP11-793H13.8	1584	12197	34736836	221.67034046	691.329267501
AL049829.1	281	2140	34736836	219.238688376	683.745608585
SNRPB	1161	8789	34736836	217.929983752	679.664116188
RPS3	4363	32884	34736836	216.974735834	676.68495875
RAN	3176	23857	34736836	216.244504078	674.407565284
TCP1	2511	18757	34736836	215.043543341	670.662096652
RP4-816N1.7	289	2158	34736836	214.962814336	670.410324928
PRDX3	1598	11793	34736836	212.450259208	662.574351507
HMGN1	1578	11644	34736836	212.424663828	662.494526506
AC104534.3	971	7145	34736836	211.832574759	660.647962361
TXN	874	6416	34736836	211.33073543	659.082862516
RPL23	3102	22489	34736836	208.707517681	650.901762596
NME2	1498	10817	34736836	207.876194646	648.30909303
HNRNPH1	4281	30811	34736836	207.190723949	646.171297088
ATP1A1	4238	30483	34736836	207.064904041	645.778899147
AC009133.24	476	3407	34736836	206.051093001	642.617099323
RPL32	3425	24502	34736836	205.944738696	642.285409283
ILF2	2212	15738	34736836	204.820848098	638.780301373
SFPQ	3757	26703	34736836	204.610823099	638.125290745
SRSF9	1205	8541	34736836	204.047565097	636.368642829
RP11-603J24.17	436	3078	34736836	203.231895603	633.824792384
AL353354.1	68	479	34736836	202.785240632	632.431797485
SERBP1	6747	47447	34736836	202.445342362	631.371747585
RPL18A	2037	14294	34736836	202.009824112	630.013485078
TMA7	565	3964	34736836	201.973754994	629.900995346
MAZ	3219	22539	34736836	201.568845617	628.638193554
EIF3B	3076	21505	34736836	201.262497445	627.682777252
PCNA	1478	10327	34736836	201.145112648	627.316686119
ATP6V1G2-DDX39B	2052	14298	34736836	200.589260844	625.583136112
PA2G4	2636	18353	34736836	200.434003131	625.098929697
MARCKSL1	1701	11748	34736836	198.824255991	620.078567889
RP11-575L7.8	392	2697	34736836	198.06357841	617.706222208
MIR4745	63	433	34736836	197.859582635	617.070015082
DDX21	5036	34480	34736836	197.102111808	614.707670391
HNRNPL	2528	17265	34736836	196.60712604	613.16394493
RP11-388M20.6	465	3156	34736836	195.386153598	609.356065255
PGAM1	1834	12402	34736836	194.67139339	607.126923324
RP1-20B21.4	313	2103	34736836	193.421468791	603.228749775
MIF	942	6323	34736836	193.233322259	602.641972115
DDX39B	2167	14311	34736836	190.116938506	592.922822079
CTB-12A17.3	298	1948	34736836	188.183885017	586.894156044
CCT6A	2733	17785	34736836	187.337180472	584.253515749
AP000350.10	794	5161	34736836	187.121245009	583.580072
GNL3	2152	13968	34736836	186.85369962	582.745670982
LRRC75A-AS1	2369	15374	34736836	186.823523121	582.651558719
DDX17	4804	31102	34736836	186.378177233	581.262646492
