Gene	Length	Counts	TotalReads	RPKM(24396067 pairs)	TPM(7.78 norm. reads)
AC006483.1	85	3875	24396067	1868.67150734	5856.69919967
RPS2	1169	46934	24396067	1645.70974358	5157.903302
RPS18	660	21479	24396067	1333.9830307	4180.90462534
RPS4X	1533	49147	24396067	1314.12004774	4118.65103181
RPL7A	899	26959	24396067	1229.20486251	3852.5139952
RPL8	1272	36318	24396067	1170.34794143	3668.04750058
RP5-940J5.9	424	12008	24396067	1160.87378826	3638.35407128
RPS8	887	24068	24396067	1112.23502092	3485.91281629
RPL39	404	10532	24396067	1068.58646235	3349.11163049
RPSA	1193	30021	24396067	1031.4896947	3232.84474861
RPL11	640	14919	24396067	955.520309893	2994.74520387
RPL12	640	14917	24396067	955.392215475	2994.34373658
RPL5	1051	24073	24396067	938.874799836	2942.57565719
RPL41	702	15978	24396067	932.965291524	2924.05436414
NPM1	2619	59192	24396067	926.419522676	2903.53893432
AC139149.1	85	1898	24396067	915.287360242	2868.64905315
ACTB	1923	41161	24396067	877.378152103	2749.83585988
RPL3	1476	31586	24396067	877.179464923	2749.2131442
RPL6	1130	24168	24396067	876.682730026	2747.65630189
HSP90AB1	2994	62340	24396067	853.483608099	2674.94674416
RPS3A	1120	22993	24396067	841.507128412	2637.41064501
PTMA	1904	39012	24396067	839.868811572	2632.27591218
ENO1	1795	36709	24396067	838.278415075	2627.29136896
HSP90AA1	4040	81618	24396067	828.103777856	2595.40251668
RPL24	1016	20514	24396067	827.631145704	2593.92121602
RP11-138I1.4	463	9060	24396067	802.097918375	2513.89621886
RPL36A-HNRNPH2	700	13425	24396067	786.133741499	2463.86207345
TUBA1B	1631	30404	24396067	764.11186856	2394.84219215
EEF1G	1533	28545	24396067	763.252218093	2392.14791754
EEF1A1	5155	93292	24396067	741.815522286	2324.9620699
YBX1	1522	27478	24396067	740.03225513	2319.37304086
HNRNPA2B1	3723	67194	24396067	739.805645982	2318.66281351
LDHB	1594	28575	24396067	734.815154798	2303.02185916
RPS11	845	14812	24396067	718.517213567	2251.94164577
GAPDH	2235	39097	24396067	717.04446774	2247.32583755
RPS12	637	10924	24396067	702.946773253	2203.1415303
H2AFZ	984	16334	24396067	680.420884888	2132.54198841
RPL30	655	10857	24396067	679.436259914	2129.45602479
EEF2	3179	52292	24396067	674.25613567	2113.22073175
HMGN2	1201	19420	24396067	662.80595357	2077.33412885
RP11-386G11.10	1519	24214	24396067	653.414769428	2047.90073703
HSPA8	2709	42963	24396067	650.078461277	2037.44424257
XXbac-BPG252P9.9	774	12245	24396067	648.482127742	2032.44109177
ACTG1	2372	37243	24396067	643.591285489	2017.11245226
RPL13A	1189	18378	24396067	633.572874308	1985.71323601
RPL10A	722	11104	24396067	630.409048518	1975.79732736
GNB2L1	1882	28820	24396067	627.703485179	1967.31768255
RPL19	1132	17329	24396067	627.490647854	1966.65061818
EIF4A1	1767	26702	24396067	619.423138919	1941.36582471
RP11-290D2.6	590	8883	24396067	617.145878612	1934.2285464
RPL35	544	8097	24396067	610.106177216	1912.16505725
RPS6	2530	36114	24396067	585.106947788	1833.81369029
HSPD1	2583	36149	24396067	573.656691979	1797.92685638
RPS7	1170	15962	24396067	559.218624983	1752.6757702
RPS27	717	9766	24396067	558.313008489	1749.8374311
NCL	4048	54611	24396067	552.993221563	1733.16441409
RPS25	840	11235	24396067	548.244108364	1718.27997487
RP11-1035H13.3	771	9877	24396067	525.110688467	1645.77633725
RPS13	652	8253	24396067	518.853119239	1626.16416864
YWHAE	2251	28044	24396067	510.675056983	1600.53288433
TMSB10	499	6103	24396067	501.329206951	1571.24157648
RPS16	687	8300	24396067	495.223833753	1552.10641325
XIST	19281	231252	24396067	491.627451934	1540.83480856
TUBB	3364	39786	24396067	484.790916363	1519.40807184
MIR3064	68	799	24396067	481.635011086	1509.51698727
RP11-11N7.5	501	5882	24396067	481.246381315	1508.29896278
RPS10-NUDT3	885	10319	24396067	477.94126019	1497.94021316
RPLP0	1822	21156	24396067	475.954424389	1491.71316919
RPL21	1086	12505	24396067	471.991365043	1479.29234166
UBB	1620	18584	24396067	470.22353801	1473.7517043
RPL7	2365	26142	24396067	453.093516614	1420.06362579
PRDX1	1258	13709	24396067	446.689061799	1399.99109552
RPS27A	1382	14975	24396067	444.159515412	1392.06311447
RPL9	1206	12619	24396067	428.901746932	1344.24295984
RPL4	3280	34192	24396067	427.297983888	1339.21652384
RPS10	987	9992	24396067	414.968809914	1300.57502742
RP11-603J24.9	495	5000	24396067	414.042562722	1297.6720286
HNRNPA1	4292	43005	24396067	410.713919053	1287.23955578
RPL36A	1256	12400	24396067	404.680453819	1268.32976299
RPS14	1830	18024	24396067	403.720006502	1265.3195758
AC119673.1	1658	16288	24396067	402.683112726	1262.06979384
RPL27	1122	10974	24396067	400.914977939	1256.52819193
RPL23A	2029	19372	24396067	391.356540157	1226.57060191
RPL29	1598	15166	24396067	389.022266031	1219.25463366
PPIA	2541	24027	24396067	387.592233293	1214.77269472
LDHA	2977	28122	24396067	387.210880059	1213.577476
CALR	1912	18041	24396067	386.770107496	1212.1960281
HNRNPK	3063	28474	24396067	381.049737239	1194.26752233
ATP5B	1849	17106	24396067	379.220441165	1188.53423169
