Gene	Length	Counts	TotalReads	RPKM(22178333 pairs)	TPM(7.01 norm. reads)
RPS2	1169	46566	22178333	1796.07936238	5683.38018554
AC006483.1	85	3358	22178333	1781.28276606	5636.55893472
RPS18	660	21270	22178333	1453.09716142	4598.0727733
RPL7A	899	27267	22178333	1367.56748465	4327.42901424
RPL8	1272	34001	22178333	1205.24594486	3813.79078518
RPS8	887	23120	22178333	1175.26366619	3718.91708857
RPSA	1193	29215	22178333	1104.17153489	3493.95842649
RP5-940J5.9	424	10194	22178333	1084.05139512	3430.29175002
RPS4X	1533	35342	22178333	1039.48940639	3289.28310133
RPL11	640	14496	22178333	1021.26701768	3231.62152742
EEF2	3179	71828	22178333	1018.76577382	3223.70677704
RPS11	845	18846	22178333	1005.6192492	3182.10689059
RPL5	1051	23371	22178333	1002.64150699	3172.68434424
RPL13A	1189	25759	22178333	976.828325448	3091.00302904
RPL12	640	13822	22178333	973.782610262	3081.36539404
AC139149.1	85	1789	22178333	948.991920336	3002.9195754
HSP90AA1	4040	84678	22178333	945.062056292	2990.48420539
RPL39	404	8411	22178333	938.722803499	2970.42474451
RPL6	1130	23262	22178333	928.196032946	2937.11461332
NPM1	2619	53678	22178333	924.127571314	2924.24067539
RPS3A	1120	22552	22178333	907.900259488	2872.89217464
EEF1G	1533	29759	22178333	875.280551318	2769.67279194
EEF1A1	5155	99872	22178333	873.546800527	2764.18663965
ENO1	1795	33932	22178333	852.346349472	2697.10150635
YBX1	1522	28113	22178333	832.84395947	2635.38959137
PTMA	1904	34937	22178333	827.350942286	2618.00789562
RPL41	702	12830	22178333	824.063435081	2607.6051519
RP11-138I1.4	463	8425	22178333	820.46492297	2596.21828735
RPL3	1476	26503	22178333	809.617298993	2561.89287141
ACTB	1923	34222	22178333	802.411608035	2539.09171792
HSP90AB1	2994	51855	22178333	780.926108313	2471.10459778
GNB2L1	1882	32453	22178333	777.510621708	2460.29688555
RPL24	1016	17421	22178333	773.126345578	2446.42360767
LDHB	1594	27026	22178333	764.477231666	2419.05499375
HSPA8	2709	44991	22178333	748.837769815	2369.56664181
