Gene	Length	Counts	TotalReads	RPKM(32284564 pairs)	TPM(10.51 norm. reads)
AC006483.1	85	6115	32284564	2228.34592007	6844.32606676
RPS2	1169	72287	32284564	1915.3615483	5882.99996614
RPL8	1272	57945	32284564	1411.02247139	4333.93118848
RPS18	660	29999	32284564	1407.88738244	4324.30181682
RPL7A	899	37095	32284564	1278.08800219	3925.62525873
RPL39	404	15349	32284564	1176.80307708	3614.53035786
RPS4X	1533	57531	32284564	1162.42473443	3570.36752636
AC139149.1	85	3092	32284564	1126.74498526	3460.77779206
RP5-940J5.9	424	15137	32284564	1105.80622052	3396.46473726
RPS8	887	31057	32284564	1084.52846842	3331.1104886
RPL12	640	21795	32284564	1054.82878753	3239.88843089
RPSA	1193	40299	32284564	1046.30644414	3213.71220015
RPL11	640	20971	32284564	1014.9490481	3117.39849893
NPM1	2619	84606	32284564	1000.62359365	3073.39811263
HSP90AA1	4040	129765	32284564	994.904236741	3055.83120652
RPL5	1051	32288	32284564	951.57605002	2922.74942817
ACTB	1923	58479	32284564	941.945395696	2893.1690395
ENO1	1795	53292	32284564	919.607788114	2824.55946301
RPL6	1130	33508	32284564	918.491491635	2821.13077762
RPL3	1476	42804	32284564	898.262092064	2758.99652568
RPS3A	1120	32008	32284564	885.208529642	2718.90273381
RP11-138I1.4	463	13003	32284564	869.896624942	2671.87248257
EEF1G	1533	42295	32284564	854.578473217	2624.8230437
YBX1	1522	41599	32284564	846.590347722	2600.28765399
RPL41	702	19017	32284564	839.092750013	2577.25891192
EEF2	3179	83224	32284564	810.892216701	2490.64146016
PTMA	1904	49620	32284564	807.225532603	2479.37930318
EEF1A1	5155	133817	32284564	804.058586399	2469.65208253
GNB2L1	1882	47966	32284564	789.439691962	2424.75040036
RPL24	1016	25498	32284564	777.351575599	2387.62195941
RPL36A-HNRNPH2	700	17435	32284564	771.487663799	2369.61105543
TUBA1B	1631	40603	32284564	771.097395802	2368.41235401
HSPA8	2709	65175	32284564	745.207314701	2288.89141637
HSP90AB1	2994	71904	32284564	743.88590362	2284.83272502
LDHB	1594	38143	32284564	741.193505334	2276.56307012
RPS11	845	20162	32284564	739.063876767	2270.0219527
RPS12	637	14316	32284564	696.125161586	2138.13642948
XXbac-BPG252P9.9	774	17320	32284564	693.125698768	2128.92363115
GAPDH	2235	49462	32284564	685.486995258	2105.46148505
RPL13A	1189	26136	32284564	680.867087328	2091.27151751
HMGN2	1201	26298	32284564	678.242168799	2083.20912551
RPL30	655	14277	32284564	675.150717999	2073.71378769
HNRNPA2B1	3723	81149	32284564	675.142131474	2073.68741433
H2AFZ	984	21413	32284564	674.042829316	2070.31092671
ACTG1	2372	51303	32284564	669.935746193	2057.69609172
RP11-290D2.6	590	12730	32284564	668.315396375	2052.71921519
RPL19	1132	24152	32284564	660.863471656	2029.83075693
RPL10A	722	15202	32284564	652.181694696	2003.16482871
RP11-386G11.10	1519	31612	32284564	644.613317616	1979.91868902
HSPD1	2583	53550	32284564	642.155406437	1972.36925722
EIF4A1	1767	36357	32284564	637.318558265	1957.51296146
RPS7	1170	23714	32284564	627.803927238	1928.28893634
RPL35	544	10913	32284564	621.370069136	1908.52745213
RPS6	2530	49274	32284564	603.257003194	1852.89348244
RPS27	717	13255	32284564	572.618863574	1758.78896494
NCL	4048	73690	32284564	563.862388955	1731.89360414
RPL7	2365	42234	32284564	553.141374881	1698.9641943
RPS10-NUDT3	885	15668	32284564	548.372119947	1684.31551001
YWHAE	2251	39227	32284564	539.777372285	1657.91689078
RPS16	687	11935	32284564	538.109625497	1652.79443528
MIR3064	68	1161	32284564	528.84497408	1624.33821822
RPS13	652	11012	32284564	523.146930284	1606.83677495
UBB	1620	27148	32284564	519.072355797	1594.32178968
RPLP0	1822	30472	32284564	518.033280392	1591.1302875
RPS25	840	13862	32284564	511.15390477	1570.0004039
RP11-1035H13.3	771	12539	32284564	503.748305934	1547.25423479
RP11-11N7.5	501	8049	32284564	497.633118523	1528.4715421
RPL21	1086	17437	32284564	497.332701445	1527.54881623
PRDX1	1258	20142	32284564	495.937587258	1523.26374706
TUBB	3364	52932	32284564	487.379649197	1496.97818789
RPL9	1206	18700	32284564	480.285386904	1475.18828359
RPS10	987	15163	32284564	475.853268419	1461.57510809
RPLP1	1201	18433	32284564	475.398809699	1460.17924597
RPS27A	1382	20255	32284564	453.972221038	1394.36784839
HNRNPA1	4292	62694	32284564	452.450779315	1389.69476638
RPL4	3280	47619	32284564	449.688210281	1381.20958323
RPL23A	2029	29382	32284564	448.543308051	1377.69303577
RPL27	1122	16197	32284564	447.14337406	1373.39316266
AC010761.8	901	12405	32284564	426.458771941	1309.86076395
RPS14	1830	24836	32284564	420.373795336	1291.17086324
ATP5B	1849	24131	32284564	404.243907118	1241.62818973
PPIA	2541	33041	32284564	402.766732943	1237.09107472
RP11-603J24.9	495	6435	32284564	402.669213684	1236.791546
RPL36A	1256	16215	32284564	399.882490194	1228.23217285
NME1-NME2	1250	16050	32284564	397.7132849	1221.5694962
OAZ1	1154	14504	32284564	389.302378034	1195.7355408
XIST	19281	240251	32284564	385.958601161	1185.4651878
RPL17	1151	14289	32284564	384.531203256	1181.08095975
RPL26	1598	19523	32284564	378.420672896	1162.31257112
PABPC1	3500	41932	32284564	371.092867433	1139.80534301
HNRNPAB	1894	22677	32284564	370.86060266	1139.09194576
EIF5A	2103	25048	32284564	368.925654353	1133.1487854
CALR	1912	22388	32284564	362.687413741	1113.98813694
LDHA	2977	34846	32284564	362.559402083	1113.59495134
HNRNPK	3063	35641	32284564	360.419233153	1107.02145938
TMSB10	499	5789	32284564	359.342080779	1103.71300444
PARP1	4283	49664	32284564	359.168875669	1103.18100793
RPL29	1598	18301	32284564	354.734248562	1089.56012724
PTGES3	2086	23638	32284564	350.995459586	1078.07650137
AC119673.1	1658	18639	32284564	348.211537248	1069.52573192
C1QBP	1246	14004	32284564	348.128143501	1069.26958946
RP11-138C9.1	268	3009	32284564	347.770282427	1068.17042535
UQCRH	608	6733	32284564	343.012628509	1053.55737338
SRP9	1733	19126	32284564	341.846126367	1049.97448217
RPS15	1293	14066	32284564	336.959079045	1034.96400059
RPL18	1439	15547	32284564	334.650038228	1027.87182154
CSDE1	4334	46672	32284564	333.558935449	1024.52051817
CCT3	2278	24301	32284564	330.42697919	1014.90076853
RP11-229E13.4	157	1667	32284564	328.882694371	1010.15752434
SOD1	971	10255	32284564	327.13085529	1004.77678081
EIF3E	1556	16284	32284564	324.157874017	995.645320101
SENP3-EIF4A1	3541	36765	32284564	321.598280388	987.783572406
HNRNPU	6011	61892	32284564	318.928157011	979.5823345
EIF4G2	4511	46076	32284564	316.378539462	971.751228166
MIR3620	80	810	32284564	313.61736835	963.270338709
BTF3	1284	12877	32284564	310.638117937	954.119622442
RP11-161H23.5	682	6672	32284564	303.023798071	930.732370279
PKM	3327	32289	32284564	300.612384468	923.325754981
XRCC6	2958	28652	32284564	300.028041568	921.530955841
TMA7	565	5460	32284564	299.329326986	919.384866051
MIR4444-1	75	721	32284564	297.768721093	914.591491963
CANX	4463	42883	32284564	297.620846454	914.137297557
RPL17-C18orf32	1470	14061	32284564	296.281099613	910.02228824
SET	3462	32969	32284564	294.974032483	906.00765409
SLC25A5	1278	12117	32284564	293.676589756	902.022581127
EEF1B2	1124	10548	32284564	290.675805224	892.805723185
NUCKS1	6503	60949	32284564	290.307265343	891.673759294
HMGN1	1578	14784	32284564	290.19506947	891.329151605
TPI1	2181	20426	32284564	290.089985494	891.006387985
FBL	1179	11005	32284564	289.122117609	888.033598466
CCT7	2056	19160	32284564	288.653926002	886.59555602
ANP32B	1470	13619	32284564	286.967662018	881.416225271
MIR1282	102	927	32284564	281.50404305	864.63481383
RP6-24A23.6	565	5132	32284564	281.347638478	864.154419885
EIF3I	1469	12937	32284564	272.782720711	837.847422661
TCP1	2511	22040	32284564	271.875424121	835.06067683
GLO1	2018	17589	32284564	269.975939601	829.226442881
HNRNPD	3072	26674	32284564	268.950285602	826.076164311
HSP90B1	2876	24934	32284564	268.539482561	824.814389855
RHOA	2176	18807	32284564	267.710686572	822.268757267
RPL36	1404	12101	32284564	266.968011987	819.987645086
FTL	882	7564	32284564	265.636659018	815.898417401
CNBP	1675	14363	32284564	265.604496723	815.799631465
RANBP1	1637	13984	32284564	264.598763411	812.710538942
RP11-864I4.1	5081	42966	32284564	261.927322531	804.505254346
CKB	1717	14471	32284564	261.055785638	801.828343807
RP11-124N14.3	708	5938	32284564	259.783766933	797.921360292
CCT4	2534	21187	32284564	258.981016038	795.45572476
RP11-159D12.5	714	5956	32284564	258.3815812	793.614570993
PSMB4	971	8095	32284564	258.227622972	793.141690949
RP11-872D17.4	313	2593	32284564	256.603900487	788.154455338
RPL23	3102	25530	32284564	254.925978906	783.000748135
SRSF1	3205	26377	32284564	254.91913715	782.979733799
RP11-269F19.2	583	4779	32284564	253.906342815	779.868953466
MORF4L2	2162	17721	32284564	253.885331804	779.804418509
TXN	874	7020	32284564	248.788759027	764.15038311
RPL10	2786	22355	32284564	248.541340546	763.390441514
RP11-186B7.4	4566	36540	32284564	247.877844065	761.352523514
HSPE1	1033	8236	32284564	246.956857837	758.523730198
RPLP2	979	7740	32284564	244.885653643	752.162062231
RPS24	2952	23212	32284564	243.557374089	748.082274486
TUBB4B	1641	12722	32284564	240.133020976	737.564432952
SCD	5368	41316	32284564	238.402516803	732.249219225
SSRP1	2836	21813	32284564	238.239762344	731.749321711
RP11-603J24.17	436	3332	32284564	236.713800281	727.062355551
ARF1	2204	16796	32284564	236.04747009	725.01573386
DDX5	2779	21077	32284564	234.922883627	721.561585932
NONO	3231	24274	32284564	232.707008855	714.755564782
HNRNPM	2709	20278	32284564	231.857520944	712.14637731
RPS3	4363	32492	32284564	230.672756766	708.507394568
RP11-388M20.6	465	3455	32284564	230.144273495	706.884167315
SNRPB	1161	8589	32284564	229.147676163	703.823135796
CTC-425F1.4	272	2010	32284564	228.892850539	703.040443284
NME2	1498	11064	32284564	228.773348064	702.673393494
MIR3940	103	755	32284564	227.046494646	697.369393
AC004824.1	65	476	32284564	226.829048182	696.701509934
HNRNPH1	4281	31001	32284564	224.303241396	688.943537948
RPL32	3425	24731	32284564	223.658895533	686.964440742
SFPQ	3757	26970	32284564	222.353938147	682.956286635
VIM	2146	15290	32284564	220.690095248	677.845821861
HDGF	2798	19904	32284564	220.342223268	676.777339075
NHP2	869	6133	32284564	218.604079625	671.438660848
SRSF9	1205	8465	32284564	217.593035036	668.333254827
HSPE1-MOB4	899	6283	32284564	216.477339743	664.906415975
NDUFS5	551	3816	32284564	214.517062602	658.88545854
IMPDH2	1657	11434	32284564	213.737514009	656.491088479
ILF2	2212	15254	32284564	213.601202724	656.072410719
AL049829.1	281	1933	32284564	213.074073378	654.453342023
PA2G4	2636	18128	32284564	213.014693173	654.270956748
RAN	3176	21823	32284564	212.833032606	653.712989447
AL353354.1	68	465	32284564	211.811294528	650.574738562
COX6A1	575	3926	32284564	211.48887397	649.584429376
