Gene	Length	Counts	TotalReads	RPKM(30448034 pairs)	TPM(9.63 norm. reads)
AC006483.1	85	4694	30448034	1813.69770579	5737.24575
RPS2	1169	62237	30448034	1748.53722766	5531.12447905
RPL7A	899	34854	30448034	1273.30862019	4027.8401667
RPS18	660	25341	30448034	1261.01588515	3988.95472196
RPS4X	1533	54701	30448034	1171.90890696	3707.08380694
RP5-940J5.9	424	14710	30448034	1139.42976504	3604.34297071
RPS8	887	28716	30448034	1063.26389998	3363.40850618
RPL39	404	12753	30448034	1036.74449665	3279.52003149
RPL11	640	19148	30448034	982.616808691	3108.29863848
RPL12	640	18828	30448034	966.195387196	3056.352975
AC139149.1	85	2438	30448034	942.010014216	2979.84770739
RPL5	1051	29070	30448034	908.412412658	2873.56886273
RPL8	1272	35026	30448034	904.365895086	2860.76856769
HSP90AA1	4040	109525	30448034	890.374351094	2816.50930329
RPL6	1130	30488	30448034	886.117342534	2803.04316492
ENO1	1795	46607	30448034	852.761216273	2697.52817583
NPM1	2619	66536	30448034	834.376250915	2639.37126026
EEF1G	1533	38479	30448034	824.370355768	2607.71974566
RPS3A	1120	28019	30448034	821.628230109	2599.04561615
EEF2	3179	79246	30448034	818.705232949	2589.79933824
PTMA	1904	47130	30448034	812.963860343	2571.63773089
ACTB	1923	46779	30448034	798.936740616	2527.26593024
RPL3	1476	35669	30448034	793.679787664	2510.63668112
RPL41	702	16892	30448034	790.286757519	2499.90355414
RP11-138I1.4	463	11103	30448034	787.589817953	2491.3723612
EEF1A1	5155	123017	30448034	783.749372655	2479.22393184
HSP90AB1	2994	70459	30448034	772.903765596	2444.91616776
RPL36A-HNRNPH2	700	16181	30448034	759.185774875	2401.52223077
YBX1	1522	35148	30448034	758.449569904	2399.19340341
HNRNPA2B1	3723	85774	30448034	756.664521778	2393.54678449
LDHB	1594	36194	30448034	745.74269709	2358.9979222
GNB2L1	1882	42685	30448034	744.897318281	2356.3237467
GAPDH	2235	49473	30448034	726.995065422	2299.69378912
RPSA	1193	26207	30448034	721.468890381	2282.21291336
TUBA1B	1631	35017	30448034	705.124361105	2230.51048201
HSPA8	2709	57547	30448034	697.677034151	2206.95245204
RPS11	845	17644	30448034	685.774108528	2169.30008625
H2AFZ	984	20162	30448034	672.944512555	2128.71639651
XXbac-BPG252P9.9	774	15736	30448034	667.719608892	2112.18852848
RPL13A	1189	23530	30448034	649.951299867	2055.98227365
EIF4A1	1767	34334	30448034	638.158557555	2018.67844926
ACTG1	2372	45910	30448034	635.672395298	2010.81400537
RP11-290D2.6	590	11179	30448034	622.288375897	1968.4765154
RPL19	1132	21327	30448034	618.762643495	1957.32361314
RPL10A	722	13075	30448034	594.764781284	1881.41149585
RP11-386G11.10	1519	27350	30448034	591.344144675	1870.59104171
RPS6	2530	45220	30448034	587.017138334	1856.90348029
RPS12	637	11310	30448034	583.128028589	1844.60111133
HSPD1	2583	45657	30448034	580.528719462	1836.37875146
MIR3064	68	1172	30448034	566.056058583	1790.59757643
RPS7	1170	19828	30448034	556.587940851	1760.64720595
HMGN2	1201	20169	30448034	551.546461494	1744.69956158
RPL35	544	8891	30448034	536.775215109	1697.973875
RPS10-NUDT3	885	14351	30448034	532.573604228	1684.68297537
NCL	4048	65231	30448034	529.241969132	1674.14405853
RPS13	652	10398	30448034	523.77282424	1656.84358548
RPL24	1016	16055	30448034	518.988035626	1641.7079275
YWHAE	2251	35136	30448034	512.64599346	1621.64623015
RPS27	717	11184	30448034	512.293383534	1620.53082388
RPLP0	1822	28279	30448034	509.749043304	1612.48234638
PRDX1	1258	19332	30448034	504.704165876	1596.52395293
RP11-11N7.5	501	7542	30448034	494.412618416	1563.96883819
RPS25	840	12534	30448034	490.06213575	1550.20701442
TUBB	3364	49882	30448034	486.999611772	1540.51937319
